airport_id,name,city,country,iata,icao,latitude,longitude,altitude
1056,Tenerife South Airport,Tenerife,Spain,TFS,GCTS,28.04450035,-16.57250023,209
1057,Tenerife Norte Airport,Tenerife,Spain,TFN,GCXO,28.48270035,-16.34149933,2076
1058,Melilla Airport,Melilla,Spain,MLN,GEML,35.27980042,-2.956259966,156
1059,Lungi International Airport,Freetown,Sierra Leone,FNA,GFLL,8.616439999999999,-13.1955,84
1060,Cufar Airport,Cufar,Guinea-Bissau,,GGCF,11.28789997,-15.18050003,65
1062,Spriggs Payne Airport,Monrovia,Liberia,MLW,GLMR,6.289060116,-10.75870037,25
1063,Roberts International Airport,Monrovia,Liberia,ROB,GLRB,6.23379,-10.3623,31
1064,Al Massira Airport,Agadir,Morocco,AGA,GMAD,30.32500076,-9.413069725,250
1065,Tan Tan Airport,Tan Tan,Morocco,TTA,GMAT,28.44820023,-11.16129971,653
1066,Saïss Airport,Fes,Morocco,FEZ,GMFF,33.9272995,-4.97796011,1900
1067,Ifrane Airport,Ifrane,Morocco,,GMFI,33.50529861,-5.152900219,5459
1068,Moulay Ali Cherif Airport,Er-rachidia,Morocco,ERH,GMFK,31.94750023,-4.398330212,3428
1069,Bassatine Airport,Meknes,Morocco,MEK,GMFM,33.879100799999996,-5.515120029,1890
1070,Angads Airport,Oujda,Morocco,OUD,GMFO,34.78720093,-1.9239900109999999,1535
1071,Ben Slimane Airport,Ben Slimane,Morocco,GMD,GMMB,33.655398999999996,-7.22145,627
1072,Rabat-Salé Airport,Rabat,Morocco,RBA,GMME,34.051497999999995,-6.751519999999999,276
1074,Mohammed V International Airport,Casablanca,Morocco,CMN,GMMN,33.36750031,-7.5899701120000005,656
1075,Menara Airport,Marrakech,Morocco,RAK,GMMX,31.60689926,-8.036299706,1545
1076,Kenitra Airport,Kentira,Morocco,NNA,GMMY,34.298900599999996,-6.595880032,16
1077,Ouarzazate Airport,Ouarzazate,Morocco,OZZ,GMMZ,30.93910027,-6.909430027000001,3782
1078,Cherif Al Idrissi Airport,Al Hociema,Morocco,AHU,GMTA,35.17710114,-3.8395199780000002,95
1079,Saniat R'mel Airport,Tetouan,Morocco,TTU,GMTN,35.59429932,-5.320020199,10
1080,Ibn Batouta Airport,Tanger,Morocco,TNG,GMTT,35.72689819,-5.916890144,62
1081,Ziguinchor Airport,Ziguinchor,Senegal,ZIG,GOGG,12.5556,-16.281799,75
1082,Cap Skirring Airport,Cap Skiring,Senegal,CSK,GOGS,12.39533,-16.748,52
1083,Kaolack Airport,Kaolack,Senegal,KLC,GOOK,14.14690018,-16.05130005,26
1084,Léopold Sédar Senghor International Airport,Dakar,Senegal,DKR,GOOY,14.73970032,-17.49020004,85
1085,Saint Louis Airport,St. Louis,Senegal,XLS,GOSS,16.05080032,-16.46319962,9
1086,Bakel Airport,Bakel,Senegal,BXE,GOTB,14.84729958,-12.46829987,98
