airline_name,date,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,recommended
aeroflot-russian-airlines,2015-01-14,Economy,6.0,4.0,3.0,2.0,4.0,4.0,1
aegean-airlines,2013-10-07,Economy,9.0,5.0,5.0,4.0,0.0,5.0,1
aegean-airlines,2013-10-02,Economy,8.0,4.0,4.0,4.0,3.0,4.0,1
aegean-airlines,2013-10-01,Economy,9.0,4.0,5.0,4.0,3.0,5.0,1
aerolineas-argentinas,2014-10-12,Business Class,7.0,3.0,5.0,3.0,4.0,4.0,1
aerolineas-argentinas,2014-08-26,Economy,2.0,2.0,1.0,2.0,1.0,2.0,0
aerolineas-argentinas,2014-07-29,Economy,10.0,4.0,5.0,5.0,4.0,5.0,1
aerolineas-argentinas,2014-06-04,Economy,7.0,4.0,4.0,3.0,0.0,3.0,1
aeromexico,2015-07-09,Economy,10.0,5.0,5.0,3.131868131868132,5.0,5.0,1
aer-lingus,2014-09-06,Economy,4.0,3.0,2.0,0.0,0.0,3.0,0
aer-lingus,2014-09-06,Economy,7.0,4.0,4.0,3.0,5.0,4.0,1
aer-lingus,2014-09-06,Business Class,7.289817232375979,1.0,1.0,3.0,3.0,1.0,0
aeroflot-russian-airlines,2015-01-11,Economy,8.0,4.0,5.0,3.0,4.0,5.0,1
aeroflot-russian-airlines,2015-01-11,Economy,9.0,5.0,4.0,4.0,5.0,5.0,1
aeroflot-russian-airlines,2015-01-11,Economy,8.0,4.0,4.0,4.0,0.0,4.0,1
aegean-airlines,2013-10-01,Economy,5.0,3.0,4.0,1.0,1.0,3.0,0
aegean-airlines,2013-09-29,Economy,10.0,5.0,5.0,5.0,0.0,5.0,1
aegean-airlines,2013-09-22,Business Class,7.823788546255507,3.0,2.0,4.0,0.0,3.0,0
aegean-airlines,2013-09-02,Economy,3.0,3.0,2.0,3.0,2.0,3.0,0
aerolineas-argentinas,2014-04-22,Business Class,3.0,3.0,3.0,1.0,3.0,3.0,0
aerolineas-argentinas,2014-04-15,Premium Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aerolineas-argentinas,2014-04-14,Economy,2.0,2.0,1.0,2.0,1.0,2.0,0
aeromexico,2015-07-09,Economy,8.0,4.0,4.0,3.0,4.0,4.0,1
aeromexico,2015-06-30,Economy,2.0,3.0,2.0,1.0,2.0,2.0,0
aeromexico,2015-06-27,First Class,1.0,4.0,3.0,4.0,1.0,3.0,0
aer-lingus,2014-09-06,Economy,8.0,4.0,5.0,4.0,0.0,4.0,1
aer-lingus,2014-09-06,Business Class,10.0,4.0,5.0,4.0,5.0,5.0,1
aer-lingus,2014-09-01,Economy,5.0,2.0,4.0,4.0,4.0,4.0,0
aer-lingus,2014-09-01,Economy,3.0,3.0,1.0,1.0,4.0,3.0,0
aeroflot-russian-airlines,2014-12-22,Economy,9.0,4.0,4.0,5.0,5.0,5.0,1
aeroflot-russian-airlines,2014-12-22,Economy,10.0,3.0,5.0,5.0,5.0,5.0,1
aeroflot-russian-airlines,2014-12-10,Business Class,5.0,4.0,3.0,3.0,0.0,2.0,0
aegean-airlines,2013-08-27,Economy,6.0,3.0,4.0,2.0,0.0,2.0,0
aegean-airlines,2013-08-13,Economy,10.0,5.0,5.0,5.0,5.0,5.0,1
aegean-airlines,2013-08-11,Economy,10.0,5.0,5.0,5.0,3.0,5.0,1
aegean-airlines,2013-08-04,Economy,10.0,5.0,5.0,4.0,5.0,4.0,1
